City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yudong,CN,29.385,106.5194,55.99,99,29,2.55,scattered clouds
80,Faanui,PF,-16.4833,-151.75,81.93,72,100,5.97,overcast clouds
81,Bethel,US,41.3712,-73.414,50.63,47,0,10.36,clear sky
82,Nanning,CN,22.8167,108.3167,57.65,66,99,2.77,overcast clouds
83,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
84,Port Blair,IN,11.6667,92.75,82.08,77,36,7.54,scattered clouds
85,Rawson,AR,-43.3002,-65.1023,79.23,22,54,13.2,broken clouds
86,Ixtapa,MX,20.7,-105.2,84.18,41,50,6.2,scattered clouds
87,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,72,6.85,light rain
88,Andenes,NO,69.3143,16.1194,30.92,80,75,21.85,broken clouds
89,Medea,DZ,36.2642,2.7539,44.2,60,30,5.82,scattered clouds
90,Chiang Klang,TH,19.2938,100.8617,69.08,74,75,3.47,broken clouds
91,Mar Del Plata,AR,-38.0023,-57.5575,69.82,59,0,24.0,clear sky
92,Amapa,BR,1.0,-52.0,79.81,93,82,4.43,broken clouds
93,Alofi,NU,-19.0595,-169.9187,71.49,100,94,1.14,overcast clouds
94,Hithadhoo,MV,-0.6,73.0833,83.32,68,16,4.47,few clouds
95,Kulhudhuffushi,MV,6.6221,73.07,83.62,70,42,4.45,scattered clouds
96,Wanaka,NZ,-44.7,169.15,46.11,88,0,2.64,clear sky
97,Beni Suef,EG,29.0731,31.0979,83.62,7,95,10.58,overcast clouds
98,Avanigadda,IN,16.0215,80.9181,79.48,83,7,9.08,clear sky
99,Hohoe,GH,7.1518,0.4736,87.58,60,95,3.91,light rain
100,Paamiut,GL,61.994,-49.6678,34.36,85,97,1.5,overcast clouds
101,Yulara,AU,-25.2406,130.9889,59.02,41,3,8.48,clear sky
102,Husavik,IS,66.0449,-17.3389,37.78,95,100,3.94,overcast clouds
103,Plettenberg Bay,ZA,-34.0527,23.3716,61.52,88,80,5.77,light rain
104,Griffith,US,41.5284,-87.4237,45.27,68,100,13.8,overcast clouds
105,Greensburg,US,40.3015,-79.5389,49.24,52,0,3.0,clear sky
106,Doha,QA,25.2867,51.5333,84.18,20,0,8.05,clear sky
107,Pahrump,US,36.2083,-115.9839,75.94,23,0,5.01,clear sky
108,Kaitangata,NZ,-46.2817,169.8464,48.69,94,25,6.2,scattered clouds
109,Shchigry,RU,51.8755,36.9043,53.42,78,55,13.09,broken clouds
110,Saldanha,ZA,-33.0117,17.9442,68.05,67,0,24.11,clear sky
111,Faya,SA,18.3851,42.4509,69.91,21,2,5.66,clear sky
112,Gizo,SB,-8.103,156.8419,80.74,79,99,2.26,moderate rain
113,Sola,VU,-13.8833,167.55,79.11,80,100,8.41,overcast clouds
114,Ulety,RU,51.3572,112.4849,33.13,74,78,5.86,broken clouds
115,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,68,5,9.01,clear sky
116,Rostock,DE,54.0887,12.1405,39.92,49,62,6.4,broken clouds
117,Saurimo,AO,-9.6608,20.3916,69.55,89,68,2.8,light rain
118,Ivankiv,UA,50.9386,29.8943,34.36,97,100,9.86,overcast clouds
119,Ilulissat,GL,69.2167,-51.1,33.82,64,20,2.3,few clouds
120,Uusikaupunki,FI,60.8004,21.4084,29.37,74,11,7.81,few clouds
121,Muriwai Beach,NZ,-36.8167,174.45,63.86,96,100,1.68,overcast clouds
122,Buldana,IN,20.5333,76.1833,86.85,14,9,5.82,clear sky
123,Touros,BR,-5.1989,-35.4608,85.12,67,100,13.91,overcast clouds
124,Pacific Grove,US,36.6177,-121.9166,58.39,92,100,1.99,mist
125,Vani,GE,42.0832,42.5216,69.49,32,0,11.5,clear sky
126,Carnarvon,AU,-24.8667,113.6333,77.07,88,75,5.75,broken clouds
127,Iberia,US,29.9502,-91.7507,77.05,56,0,9.22,clear sky
128,Bengkulu,ID,-3.8004,102.2655,77.54,80,95,4.81,light rain
129,Lorengau,PG,-2.0226,147.2712,78.24,83,100,4.74,overcast clouds
130,Khatanga,RU,71.9667,102.5,0.88,97,100,6.15,overcast clouds
131,Hasaki,JP,35.7333,140.8333,46.8,56,100,8.59,overcast clouds
132,Upernavik,GL,72.7868,-56.1549,14.16,92,93,12.26,overcast clouds
133,Clyde River,CA,70.4692,-68.5914,13.6,89,100,5.77,overcast clouds
134,Agrafa,GR,39.136,21.6494,43.07,88,98,16.46,overcast clouds
135,Hilo,US,19.7297,-155.09,69.53,90,100,6.91,moderate rain
136,Amga,RU,60.8953,131.9608,21.92,96,100,1.72,snow
137,Namatanai,PG,-3.6667,152.4333,77.52,87,100,6.73,moderate rain
138,Nikolskoye,RU,59.7035,30.7861,31.89,94,48,4.99,scattered clouds
139,San Ignacio,BZ,17.1561,-89.0714,89.74,58,20,6.91,few clouds
140,Cabo San Lucas,MX,22.8909,-109.9124,78.1,51,43,5.99,scattered clouds
141,Castro,BR,-24.7911,-50.0119,65.3,81,100,8.37,overcast clouds
142,Bahia Blanca,AR,-38.7196,-62.2724,71.26,34,0,22.08,clear sky
143,Ribeira Grande,PT,38.5167,-28.7,64.8,59,20,10.36,few clouds
144,Hambantota,LK,6.1241,81.1185,80.73,77,17,5.82,few clouds
145,Tramandai,BR,-29.9847,-50.1336,71.71,69,8,12.53,clear sky
146,Arahal,ES,37.1864,-5.5549,64.42,31,56,5.99,broken clouds
147,Muros,ES,42.7762,-9.0603,59.68,47,2,17.29,clear sky
148,Narsaq,GL,60.9167,-46.05,41.22,81,100,3.76,overcast clouds
149,Vila,PT,42.0304,-8.1588,49.08,38,0,8.01,clear sky
150,Nainpur,IN,22.4333,80.1167,85.5,11,0,4.59,clear sky
151,Rantepao,ID,-2.9701,119.8978,65.79,96,97,2.91,overcast clouds
152,Barao De Melgaco,BR,-16.1944,-55.9675,84.0,57,68,3.2,broken clouds
153,Kamennogorsk,RU,60.9545,29.1339,25.56,91,43,1.54,scattered clouds
154,Yumen,CN,40.2833,97.2,46.18,12,0,4.21,clear sky
155,Urumqi,CN,43.801,87.6005,49.15,43,0,4.47,clear sky
156,Puerto Baquerizo Moreno,EC,-0.9,-89.6,83.39,79,40,13.8,scattered clouds
157,Port Elizabeth,ZA,-33.918,25.5701,64.09,91,75,5.75,broken clouds
158,Pangnirtung,CA,66.1451,-65.7125,23.0,86,40,12.66,scattered clouds
159,Krasnovishersk,RU,60.4078,57.082,19.78,87,100,5.39,overcast clouds
160,Laguna,US,38.421,-121.4238,70.09,55,0,12.66,clear sky
161,Buchanan,LR,5.8808,-10.0467,78.01,85,100,8.12,overcast clouds
162,Bubaque,GW,11.2833,-15.8333,75.81,71,18,19.08,few clouds
163,Solnechnyy,RU,50.7214,136.6319,24.71,92,96,4.54,overcast clouds
164,Abnub,EG,27.2696,31.1511,97.02,4,38,9.6,scattered clouds
165,Mokhotlong,LS,-29.2894,29.0675,53.24,74,57,5.5,broken clouds
166,Parlakimidi,IN,18.7667,84.0833,78.66,82,3,2.15,clear sky
167,Bella Union,UY,-30.2752,-57.6007,74.41,47,0,9.33,clear sky
168,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.36,92,91,3.67,overcast clouds
169,Evensk,RU,61.95,159.2333,12.61,80,98,12.03,overcast clouds
170,Pangody,RU,65.85,74.4859,5.45,98,64,6.89,broken clouds
171,Esperance,AU,-33.8667,121.9,66.04,56,1,14.67,clear sky
172,Oktyabrskiy,RU,54.4815,53.471,37.99,100,100,7.09,overcast clouds
